#,Club,,Expenditure,Arrivals,Income,Departures,Balance,season_start
1,Manchester City,Manchester City,€208.47m,22,€67.44m,25,€-141.03m,2015
2,Manchester United,Manchester United,€156.00m,21,€100.67m,20,€-55.33m,2015
3,Liverpool FC,Liverpool FC,€126.50m,24,€90.55m,24,€-35.95m,2015
4,Newcastle United,Newcastle United,€107.91m,26,€5.43m,23,€-102.48m,2015
5,Chelsea FC,Chelsea FC,€96.50m,39,€87.49m,37,€-9.01m,2015
6,Watford FC,Watford FC,€82.80m,33,€9.75m,30,€-73.05m,2015
7,Tottenham Hotspur,Tottenham Hotspur,€71.00m,11,€87.25m,21,€16.25m,2015
8,Aston Villa,Aston Villa,€66.55m,29,€64.70m,32,€-1.85m,2015
9,Sunderland AFC,Sunderland AFC,€66.05m,29,€11.00m,25,€-55.05m,2015
10,Southampton FC,Southampton FC,€60.10m,16,€52.70m,17,€-7.40m,2015
11,AFC Bournemouth,AFC Bournemouth,€55.11m,36,€650k,33,€-54.46m,2015
12,Stoke City,Stoke City,€53.65m,13,€23.20m,14,€-30.45m,2015
13,West Ham United,West Ham United,€52.70m,25,€18.52m,26,€-34.19m,2015
14,Norwich City,Norwich City,€50.50m,33,€21.49m,30,€-29.01m,2015
15,Leicester City,Leicester City,€49.90m,25,€9.45m,32,€-40.45m,2015
16,Everton FC,Everton FC,€48.20m,18,€11.00m,17,€-37.20m,2015
17,West Bromwich Albion,West Bromwich Albion,€42.90m,12,€12.92m,13,€-29.98m,2015
18,Crystal Palace,Crystal Palace,€28.80m,19,€5.40m,23,€-23.40m,2015
19,Arsenal FC,Arsenal FC,€26.50m,15,€2.50m,12,€-24.00m,2015
20,Swansea City,Swansea City,€21.81m,20,€16.81m,24,€-5.01m,2015
1,Manchester City,Manchester City,€216.25m,31,€35.35m,25,€-180.90m,2016
2,Manchester United,Manchester United,€185.00m,8,€47.25m,13,€-137.75m,2016
3,Chelsea FC,Chelsea FC,€132.80m,27,€108.90m,30,€-23.90m,2016
4,Arsenal FC,Arsenal FC,€113.00m,11,€10.35m,12,€-102.65m,2016
5,Crystal Palace,Crystal Palace,€101.20m,22,€50.20m,24,€-51.00m,2016
6,Leicester City,Leicester City,€92.10m,17,€66.05m,18,€-26.05m,2016
7,Everton FC,Everton FC,€86.00m,18,€60.80m,19,€-25.20m,2016
8,Tottenham Hotspur,Tottenham Hotspur,€83.50m,8,€52.30m,8,€-31.20m,2016
9,West Ham United,West Ham United,€83.50m,22,€41.00m,15,€-42.50m,2016
10,Liverpool FC,Liverpool FC,€79.90m,21,€88.98m,19,€9.08m,2016
11,Watford FC,Watford FC,€70.45m,29,€58.10m,32,€-12.35m,2016
12,Southampton FC,Southampton FC,€68.90m,12,€85.05m,9,€16.15m,2016
13,Swansea City,Swansea City,€58.10m,21,€49.30m,17,€-8.80m,2016
14,Middlesbrough FC,Middlesbrough FC,€47.95m,18,€13.50m,19,€-34.45m,2016
15,Burnley FC,Burnley FC,€45.60m,27,€1.20m,26,€-44.40m,2016
16,Stoke City,Stoke City,€42.17m,14,€3.80m,13,€-38.37m,2016
17,Sunderland AFC,Sunderland AFC,€41.90m,25,€23.77m,23,€-18.13m,2016
18,AFC Bournemouth,AFC Bournemouth,€40.69m,19,€23.69m,31,€-17.00m,2016
19,Hull City,Hull City,€40.00m,26,€28.90m,17,€-11.10m,2016
20,West Bromwich Albion,West Bromwich Albion,€37.90m,13,€26.98m,14,€-10.93m,2016
1,Manchester City,Manchester City,€317.50m,31,€91.35m,32,€-226.15m,2017
2,Chelsea FC,Chelsea FC,€260.50m,40,€194.60m,31,€-65.90m,2017
3,Everton FC,Everton FC,€203.20m,23,€126.38m,20,€-76.82m,2017
4,Manchester United,Manchester United,€198.40m,12,€45.50m,10,€-152.90m,2017
5,Liverpool FC,Liverpool FC,€173.65m,13,€184.50m,15,€10.85m,2017
6,Arsenal FC,Arsenal FC,€152.85m,10,€162.40m,16,€9.55m,2017
7,Tottenham Hotspur,Tottenham Hotspur,€121.00m,15,€103.80m,12,€-17.20m,2017
8,Leicester City,Leicester City,€83.85m,14,€50.10m,13,€-33.75m,2017
9,Watford FC,Watford FC,€73.40m,32,€18.74m,30,€-54.66m,2017
10,Swansea City,Swansea City,€73.39m,21,€81.10m,24,€7.72m,2017
11,Brighton & Hove Albion,Brighton & Hove Albion,€70.00m,23,€400k,22,€-69.60m,2017
12,Southampton FC,Southampton FC,€61.25m,12,€98.35m,14,€37.10m,2017
13,Stoke City,Stoke City,€57.70m,18,€35.14m,17,€-22.56m,2017
14,West Ham United,West Ham United,€56.80m,15,€64.02m,25,€7.22m,2017
15,Huddersfield Town,Huddersfield Town,€56.75m,22,€6.46m,16,€-50.30m,2017
16,Crystal Palace,Crystal Palace,€55.95m,15,€3.00m,18,€-52.95m,2017
17,West Bromwich Albion,West Bromwich Albion,€53.50m,17,€2.05m,11,€-51.45m,2017
18,Newcastle United,Newcastle United,€46.50m,27,€21.22m,29,€-25.28m,2017
19,Burnley FC,Burnley FC,€35.74m,20,€50.00m,22,€14.26m,2017
20,AFC Bournemouth,AFC Bournemouth,€34.30m,15,-,14,€-34.30m,2017
1,Chelsea FC,Chelsea FC,€208.80m,30,€83.25m,31,€-125.55m,2018
2,Liverpool FC,Liverpool FC,€192.20m,18,€41.32m,21,€-150.88m,2018
3,Wolverhampton Wanderers,Wolverhampton Wanderers,€117.50m,35,€23.30m,46,€-94.20m,2018
4,Fulham FC,Fulham FC,€116.50m,18,€5.35m,11,€-111.15m,2018
5,Leicester City,Leicester City,€114.60m,17,€95.80m,18,€-18.80m,2018
