Club,Expenditure,Arrivals,Income,Departures,Balance,season_start
Man City,493524305.2422191,22,159655006.21449253,25,-333869299.0277266,2015
Man United,369308733.23637056,21,238322501.12118864,20,-130986232.11518195,2015
Liverpool,299471504.83590305,24,214364780.73431638,24,-85106724.10158668,2015
Newcastle,255462214.1252356,26,12854784.753035206,23,-242607429.37220037,2015
Chelsea,228450594.5981395,39,207120647.8900645,37,-21329946.708074994,2015
Watford,196017712.25622746,33,23081795.82727316,30,-172935916.4289543,2015
Tottenham,168082820.89604047,11,206552480.6081624,21,38469659.71212193,2015
Aston Villa,157548052.54410553,29,153168429.7461101,32,-4379622.79799542,2015
Sunderland,156364370.70680946,29,26041000.42051331,25,-130323370.28629616,2015
Southampton,142278556.84298638,16,124760065.65100469,17,-17518491.19198168,2015
Bournemouth,130465412.1067717,36,1538786.3884848775,33,-128926625.71828681,2015
Stoke,127009061.14186719,13,54922837.250537165,14,-72086223.89133003,2015
West Ham,124760065.65100469,25,43843575.25344605,26,-80940164.03430456,2015
Norwich,119551865.56690201,33,50874645.36698464,30,-68677220.19991738,2015
Leicester,118131447.36214675,25,22371586.724895526,32,-95759860.63725121,2015
Everton,114106929.11534014,18,26041000.42051331,17,-88065928.69482683,2015
West Brom,101559901.64000191,12,30586338.67573018,13,-70973562.96427174,2015
Crystal Palace,68180073.82825303,19,12783763.842797443,23,-55396309.98545559,2015
Arsenal,62735137.376691155,15,5918409.186480298,12,-56816728.19021086,2015
Swansea,51632201.74285412,20,39795383.36989352,24,-11860492.009706518,2015
Man City,469671921.6793997,31,76776427.42828569,25,-392895494.2511141,2016
Man United,401800256.69682753,8,102621957.4536492,13,-299178299.2431783,2016
Chelsea,288427427.5099389,27,236519178.13126767,30,-51908249.37867123,2016
Arsenal,245423940.57698113,11,22479095.44222792,12,-222944845.13475323,2016
Crystal Palace,219795599.87956187,22,109029042.62800401,24,-110766557.25155786,2016
Leicester,200031371.03663683,17,143453551.10716465,18,-56577819.9294722,2016
Everton,186782822.03203875,18,132051111.3900925,19,-54731710.641946234,2016
Tottenham,181353088.83343297,8,113590018.51483285,8,-67763070.3186001,2016
West Ham,181353088.83343297,22,89047624.45713475,15,-92305464.37629822,2016
Liverpool,173534273.02744064,21,193255064.00477684,19,19720790.977336183,2016
Watford,153009881.5367108,29,126186999.53559826,32,-26822882.00111254,2016
Southampton,149643446.95357522,12,184719523.41656855,9,35076076.46299332,2016
Swansea,126186999.53559826,21,107074338.67650592,17,-19112660.859092336,2016
Middlesbrough,104142282.7492588,18,29320559.272471197,19,-74821723.47678761,2016
Burnley,99038333.54256938,27,2606271.9353307732,26,-96432061.6072386,2016
Stoke,91588739.59408225,14,8253194.461880782,13,-83335545.13220146,2016
Sunderland,91002328.40863283,25,51625903.25234373,23,-39376425.1562891,2016
Bournemouth,88374337.54050763,19,51452151.78998835,31,-36922185.75051928,2016
Hull,86875731.17769244,26,62767715.77588279,17,-24108015.40180965,2016
West Brom,82314755.29086359,13,58597680.67935355,14,-23738793.544304457,2016
Man City,632638638.7366364,31,182020597.31839916,32,-450618041.4182372,2017
Chelsea,519062568.16029537,40,387752690.0729116,31,-131309878.08738376,2017
Everton,404888728.7914473,23,251820066.65680665,20,-153068662.13464066,2017
Man United,395324428.1113344,12,90661600.1969038,10,-304662827.91443056,2017
Liverpool,346008502.7295021,13,367627807.3918407,15,21619304.6623386,2017
Arsenal,304563199.78234607,10,323592173.0104874,16,19028973.228141345,2017
Tottenham,241100079.6445134,15,206828002.20744208,12,-34272077.43707132,2017
Leicester,167076377.5057227,14,99827388.3486787,13,-67248989.15704402,2017
Watford,146254097.9000602,32,37340623.90527423,30,-108913473.99478596,2017
Swansea,146234172.27364329,21,161596830.24107468,24,15382583.593848294,2017
Brighton,139479384.91831353,23,797025.0566760773,22,-138682359.86163747,2017
Southampton,122044461.80352435,12,195968535.81023052,14,73924074.00670618,2017
Stoke,114970864.42552416,18,70018651.2289934,17,-44952213.19653076,2017
West Ham,113177558.04800299,15,127563860.32100616,25,14386302.273003196,2017
Huddersfield,113077929.91591847,22,12871954.66531865,16,-100225900.87701672,2017
Crystal Palace,111483879.80256632,15,5977687.92507058,18,-105506191.87749574,2017
West Brom,106602101.33042535,17,4084753.415464896,11,-102517347.91496044,2017
Newcastle,92654162.83859399,27,42282179.2566659,29,-50371983.58192809,2017
Burnley,71214188.8140075,20,99628132.08450967,22,28413943.270502158,2017
Bournemouth,68344898.60997364,15,0.0,14,-68344898.60997364,2017
Chelsea,381694568.42652506,30,152184256.8079895,31,-229510311.61853555,2018
Liverpool,351349119.02096796,18,75534576.47214566,21,-275814542.54882234,2018
Wolves,214794596.69596118,35,42593311.515028894,46,-172201285.18093228,2018
Fulham,212966557.57514447,18,9780009.296369296,11,-203186548.2787752,2018
Leicester,209493283.24559277,17,175126147.77423897,18,-34367135.471353784,2018
West Ham,184449147.2904041,18,25172098.69364583,13,-159295328.98796645,2018
Everton,182438304.25750574,19,52373320.81139819,23,-130064983.44610755,2018
Bournemouth,167448383.4668089,14,36926390.24049716,16,-130521993.22631173,2018
Brighton,165656905.12840852,28,24897892.825523328,29,-140759012.3028852,2018
Man United,151178835.29154032,10,55846595.140949905,10,-95332240.15059043,2018
Arsenal,146517335.5334578,17,16635155.999431886,12,-129882179.53402588,2018
Man City,143665594.50498372,19,105295053.3590414,22,-38370541.14594234,2018
Southampton,113795435.270839,16,47711821.05331563,18,-66083614.21752337,2018
Newcastle,109225337.46879728,22,93321397.11769207,23,-15903940.35110521,2018
Cardiff,93595602.98581457,18,0.0,18,-93595602.98581457,2018
Huddersfield,92681583.42540623,14,22539722.359669797,16,-70141861.06573643,2018
Burnley,60325290.9869508,10,14624312.966533527,13,-45700978.02041727,2018
Watford,55023977.536582395,26,94765548.02313726,27,39741570.48655486,2018
Crystal Palace,21662263.581677787,11,639813.6922858418,16,-21022449.889391944,2018
Tottenham,0.0,4,9780009.296369296,4,9780009.296369296,2018
Man United,397137306.24714893,13,136146986.99807245,12,-260990319.24907652,2019
Man City,284805140.8230187,25,119074107.86971104,26,-165731032.9533077,2019
Arsenal,269677697.8232329,16,89976420.94661969,19,-179701276.87661323,2019
Aston Villa,267497467.6791396,22,5031300.332523002,22,-262466167.3466166,2019
Tottenham,252403566.6815706,12,108172957.14924455,14,-144230609.53232604,2019
Everton,202929113.41176108,22,147249389.73183987,22,-55679723.679921225,2019
West Ham,200916593.27875188,10,93464789.17716897,17,-107451804.1015829,2019
Wolves,195717582.93514478,28,40418112.67126811,26,-155299470.26387665,2019
Leicester,174921541.56071636,13,148423359.80942854,13,-26498181.75128781,2019
Sheffield United,121589758.03597255,23,586985.0387943502,21,-121002772.9971782,2019
Newcastle,121422048.02488844,13,59771847.95037326,11,-61650200.074515186,2019
Brighton,103544160.84332338,25,14255350.942148505,30,-89288809.90117487,2019
Southampton,103141656.81672154,14,45784833.02595932,17,-57356823.79076222,2019
Watford,93917606.20709604,21,49306743.25872542,21,-44610862.94837062,2019
Bournemouth,92089567.08627935,13,58077976.838423856,12,-34028361.2489639,2019
Chelsea,75469504.98784503,22,276838915.296524,29,201369410.30867895,2019
Burnley,39998837.64355786,8,22724706.501895558,11,-17274131.141662307,2019
